x1 x2 y 
-2.46 2.88 -1
4.37 -3.94 1
-1.24 3.17 -1
5.03 -4.12 1
3.54 -2.95 1
1.8 -2.7 1
3.42 -2.14 1
1.64 -0.93 1
-3.65 4.26 -1
2.36 -3.79 1
2.48 -2.44 1
5.17 -4.96 1
5.95 -4.56 1
-0.3 1.87 -1
3.81 -3.09 1
-1.01 3.27 -1
-4.58 2.34 -1
-3.95 4.05 -1
-3.71 2.98 -1
-3.22 3.59 -1
2.12 -3.09 1
2.69 -3.0 1
2.52 -2.79 1
-3.71 2.05 -1
-3.06 2.87 -1
-1.45 2.78 -1
0.71 -2.16 1
3.03 -4.08 1
3.21 -3.76 1
-3.66 4.33 -1
-3.56 2.35 -1
4.12 -3.63 1
3.74 -3.69 1
-4.92 3.2 -1
-3.1 4.01 -1
4.11 -3.22 1
-2.02 1.79 -1
-2.14 3.09 -1
-2.16 2.6 -1
2.94 -2.5 1
1.22 -1.26 1
2.19 -1.81 1
-2.3 3.15 -1
2.45 -3.37 1
1.68 -1.68 1
2.18 -3.22 1
2.85 -1.69 1
-0.94 2.91 -1
2.98 -1.53 1
3.13 -4.19 1
5.21 -3.46 1
-3.92 4.39 -1
5.59 -4.75 1
-2.26 3.37 -1
2.44 -2.84 1
-5.38 4.06 -1
-4.23 2.19 -1
-3.0 2.71 -1
-4.3 2.09 -1
-3.42 1.55 -1
-3.25 4.08 -1
-4.12 3.95 -1
-1.26 3.62 -1
3.39 -3.48 1
-4.33 3.3 -1
1.81 -1.39 1
2.44 -2.98 1
-1.91 3.57 -1
3.12 -3.02 1
4.79 -2.02 1
4.1 -3.55 1
4.07 -2.77 1
-3.97 3.8 -1
-2.97 3.23 -1
-3.3 2.87 -1
3.63 -3.13 1
-3.58 2.82 -1
-3.56 3.47 -1
2.54 -2.78 1
-3.92 2.7 -1
-3.81 2.92 -1
1.21 -2.73 1
3.16 -3.86 1
4.04 -3.31 1
-1.86 3.09 -1
-3.34 3.68 -1
-3.03 2.5 -1
3.38 -3.19 1
-2.06 1.79 -1
-2.52 2.72 -1
2.6 -2.58 1
-2.44 2.97 -1
-3.71 3.4 -1
1.62 -3.79 1
-1.96 2.06 -1
2.12 -2.02 1
-0.82 3.11 -1
0.79 -2.24 1
-3.91 3.81 -1
2.79 -3.68 1
-1.81 2.15 -1
-2.29 3.65 -1
-1.67 2.38 -1
-1.91 3.37 -1
-3.45 3.41 -1
3.49 -3.79 1
4.66 -4.34 1
3.22 -3.54 1
2.19 -4.19 1
-3.13 2.21 -1
3.87 -3.01 1
2.88 -2.85 1
-2.03 2.5 -1
5.24 -3.68 1
-1.36 2.5 -1
-2.68 1.53 -1
-3.96 3.52 -1
-3.02 3.27 -1
-0.83 2.54 -1
3.37 -2.63 1
-3.52 4.0 -1
2.91 -3.35 1
-2.67 2.43 -1
4.03 -3.57 1
-3.14 3.3 -1
-3.51 2.78 -1
-0.7 2.13 -1
-5.06 3.03 -1
3.11 -2.28 1
-2.77 2.59 -1
-2.21 3.34 -1
3.35 -3.75 1
3.73 -2.81 1
4.26 -4.03 1
-3.24 2.63 -1
-4.25 2.04 -1
-3.77 3.21 -1
3.37 -3.41 1
-3.94 2.75 -1
-3.47 2.2 -1
-2.74 1.97 -1
-3.55 3.47 -1
-3.58 2.12 -1
-2.69 2.64 -1
1.98 -3.49 1
-3.18 3.86 -1
4.18 -3.29 1
2.37 -2.28 1
1.9 -2.07 1
-4.0 3.23 -1
5.01 -2.88 1
2.31 -1.52 1
4.56 -3.34 1
3.65 -2.85 1
-0.7 1.36 -1
-2.82 3.28 -1
-3.92 3.61 -1
-2.51 1.99 -1
1.34 -1.58 1
2.1 -1.82 1
4.31 -3.55 1
4.49 -3.72 1
2.58 -2.42 1
2.03 -2.08 1
1.87 -1.76 1
-3.72 3.23 -1
2.69 -1.79 1
-3.43 3.74 -1
4.11 -1.84 1
3.01 -2.67 1
-4.0 3.21 -1
-1.86 2.49 -1
-2.84 3.68 -1
2.66 -2.65 1
-3.75 4.1 -1
2.93 -1.58 1
-3.37 2.86 -1
-4.47 4.06 -1
-0.53 3.01 -1
-4.56 3.7 -1
-2.36 1.2 -1
-2.67 2.42 -1
-3.46 2.49 -1
-3.83 2.96 -1
1.88 -3.43 1
-4.41 3.29 -1
2.48 -3.1 1
-3.18 2.53 -1
-3.89 4.17 -1
-3.81 3.18 -1
4.68 -3.99 1
-4.37 3.63 -1
-2.94 3.97 -1
2.41 -2.83 1
-3.81 2.81 -1
3.45 -1.89 1
-1.0 3.12 -1
-3.98 3.52 -1
2.73 -3.13 1
4.31 -2.94 1
-3.46 3.17 -1
-3.58 4.61 -1
-2.48 3.06 -1
2.6 -1.47 1
2.2 -1.66 1
-2.77 3.08 -1
-2.5 2.64 -1
2.38 -2.72 1
2.47 -3.22 1
1.77 -2.96 1
