x1 x2 y 
0.06 0.22 1
1.16 0.48 -1
0.94 1.05 -1
1.35 0.21 -1
0.62 1.19 -1
0.09 -0.4 1
0.56 0.19 1
0.5 0.06 -1
0.93 0.5 -1
0.23 -0.1 1
0.39 0.57 1
1.32 1.07 -1
-0.05 0.04 1
0.95 0.84 -1
0.61 1.15 -1
0.05 0.49 1
0.73 0.83 -1
-0.51 -0.42 1
0.63 0.88 -1
0.54 0.13 1
0.16 -0.2 1
0.59 0.44 1
0.2 0.18 1
-0.22 0.71 1
1.21 0.54 -1
-0.1 -0.33 1
0.93 0.85 -1
0.62 0.74 -1
1.32 0.64 -1
-0.14 0.05 1
0.79 0.9 -1
0.37 0.12 1
0.04 0.97 -1
-0.03 -0.02 1
0.76 0.76 -1
-0.59 0.51 1
1.09 1.31 -1
0.16 -0.39 1
-0.89 0.24 1
1.36 0.61 -1
0.78 0.52 -1
-0.31 0.43 1
0.52 -0.3 1
0.45 0.64 -1
0.07 -0.14 1
0.18 -0.29 1
0.96 1.15 -1
0.22 -0.35 1
0.22 0.26 1
-0.07 -0.27 1
0.4 0.21 1
1.1 0.03 -1
0.89 0.8 -1
0.6 0.62 -1
0.64 0.89 -1
0.99 1.08 -1
-0.15 -0.03 1
-0.08 -0.32 1
0.89 0.8 -1
0.74 1.16 -1
0.45 0.37 -1
0.28 -0.22 1
0.03 -0.32 1
0.78 1.47 -1
1.15 0.48 -1
0.62 1.24 -1
0.1 0.29 1
-0.18 -0.36 1
0.48 0.3 -1
0.75 0.28 -1
0.1 0.71 1
1.12 1.05 -1
1.02 0.77 -1
0.46 -0.09 1
0.47 0.7 1
0.19 0.79 -1
-0.25 0.0 1
0.92 0.76 -1
0.46 1.21 -1
1.11 0.48 -1
-0.41 -0.35 1
1.29 0.59 -1
0.6 0.26 -1
0.56 0.19 -1
0.49 0.6 -1
0.8 0.77 -1
0.84 1.04 -1
0.24 0.57 1
0.65 0.48 -1
1.46 0.79 -1
0.32 0.03 1
-0.03 0.46 1
0.32 0.58 -1
-0.13 -0.07 1
0.68 0.57 -1
0.34 -0.38 1
0.34 0.14 1
0.57 0.5 1
0.47 -0.32 1
1.35 0.58 -1
1.27 -0.02 -1
0.36 1.41 -1
-0.21 0.68 1
-0.59 -0.04 1
0.77 0.42 -1
0.26 0.42 1
0.46 1.01 -1
1.18 0.89 -1
0.21 0.51 1
0.39 -0.05 1
0.23 0.65 -1
1.14 0.61 -1
1.21 1.14 -1
0.85 0.59 -1
0.53 0.69 -1
-0.01 0.2 1
-0.08 -0.03 1
-0.21 0.09 1
0.49 -0.26 1
0.35 -0.38 1
0.92 0.89 -1
-0.21 0.0 1
0.51 0.96 -1
-0.07 0.13 1
0.94 0.73 -1
0.55 0.7 -1
0.95 0.36 1
-0.16 0.44 1
-0.04 -0.2 1
-0.0 0.13 1
-0.07 -0.26 1
0.76 0.66 -1
0.71 -0.17 1
0.05 -0.17 1
0.88 0.74 -1
1.27 0.66 -1
0.91 0.16 -1
0.32 -0.02 1
0.74 1.1 -1
0.31 0.93 -1
0.39 0.8 -1
0.88 1.23 -1
0.07 0.36 1
1.2 0.66 -1
0.46 0.67 -1
0.19 0.39 1
0.58 0.56 -1
-0.1 0.21 1
-0.05 0.53 1
0.05 0.11 1
1.05 1.05 -1
0.76 0.55 -1
0.77 0.84 -1
-0.83 -0.3 1
0.96 0.61 -1
0.36 0.0 1
0.69 0.52 -1
0.04 0.46 1
0.69 -0.22 -1
0.05 0.04 1
0.65 0.75 -1
0.22 0.15 1
1.04 1.38 -1
-0.39 0.43 1
-0.22 0.01 1
0.88 1.16 -1
0.16 -0.2 1
0.52 0.44 -1
0.54 0.8 -1
0.57 0.24 -1
0.8 0.32 -1
0.27 -0.2 1
0.92 0.86 -1
-0.41 0.14 1
0.43 0.74 -1
0.2 0.45 1
0.42 -0.03 1
-0.37 -0.34 1
0.46 0.29 1
0.73 0.69 1
0.94 0.46 -1
0.88 0.54 -1
-0.11 0.46 1
1.1 0.71 -1
0.32 -0.4 1
1.27 1.15 -1
0.06 0.22 1
0.8 1.26 -1
-0.07 0.02 1
0.31 0.52 -1
0.48 0.15 1
0.06 -0.27 1
0.83 0.45 -1
-0.03 0.07 1
1.2 1.08 -1
0.86 0.86 -1
0.78 0.34 -1
-0.27 -0.23 1
0.48 0.59 1
-0.05 0.14 1
0.17 0.43 1
1.11 0.7 -1
0.33 1.21 -1
0.39 0.39 -1
0.69 0.67 -1
1.28 0.69 -1
0.4 0.13 1
-0.19 0.25 1
1.01 0.81 -1
0.75 0.42 -1
0.33 -0.08 1
-0.25 0.89 1
0.64 0.36 -1
0.3 0.61 1
0.94 1.1 -1
-0.04 -0.1 1
0.67 0.8 -1
0.32 0.84 -1
0.88 1.55 -1
0.41 -0.01 1
0.32 0.53 1
1.14 0.67 -1
1.28 0.85 -1
1.03 0.87 -1
0.15 -0.25 1
0.32 0.44 1
0.74 0.32 -1
0.0 0.21 1
0.56 0.55 -1
-0.08 0.41 1
0.23 0.22 1
0.17 -0.01 1
0.67 -0.44 1
1.18 0.98 -1
0.58 0.39 -1
-0.11 -0.02 1
0.2 0.21 1
0.35 0.88 1
-0.36 0.39 1
0.71 0.81 -1
0.51 0.29 -1
0.03 0.69 -1
0.12 -0.17 1
0.76 0.97 -1
0.67 0.74 -1
-0.5 0.06 1
0.14 0.26 1
0.61 1.54 -1
0.95 1.27 -1
0.34 0.17 1
0.75 0.41 -1
0.51 0.26 1
0.86 0.64 -1
-0.38 0.06 1
0.49 0.94 -1
-0.32 -0.05 1
0.42 0.11 1
0.96 0.98 -1
0.62 0.97 -1
0.06 -0.32 1
0.69 0.44 -1
0.26 -0.23 1
0.37 -0.26 1
0.55 0.86 -1
0.27 -0.1 1
0.19 0.18 1
0.59 0.36 1
0.6 0.94 -1
0.81 0.57 -1
0.62 1.06 -1
0.62 1.07 -1
0.1 0.11 1
1.02 0.71 -1
0.01 0.68 1
0.81 0.81 -1
0.83 1.08 -1
-0.1 0.44 1
-0.04 -0.4 1
0.16 0.4 1
0.12 -0.07 1
